Policy,Quantity logic,Firm,P(pass),P(breach),Median days,P(pass <=10d),P(pass <=14d),P(pass <=20d),Expected attempts,Expected eval cost,p90 days,governor,daily_stop,streak,approach
Q2_FIXED__DSTOP_FRAC35,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.572,0.428,14.0,0.3237762237762238,0.5160839160839161,0.7391608391608392,1.7482517482517483,122.36013986013985,29.0,none,frac_dd,none,NONE
Q2_FIXED__STREAK_PAUSE_2,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.488,0.512,13.0,0.37540983606557377,0.589344262295082,0.8295081967213115,2.0491803278688523,143.42213114754097,24.0,none,none,pause_2,NONE
Q2_FIXED__STREAK_PAUSE_3,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.4756,0.5244,13.0,0.36248948696383515,0.5937762825904122,0.8216989066442388,2.1026072329688814,147.161480235492,24.0,none,none,pause_3,NONE
Q2_FIXED__STREAK_REDUCE_2,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.484,0.516,12.0,0.3958677685950413,0.6173553719008265,0.8289256198347107,2.066115702479339,144.60743801652893,24.0,none,none,reduce_2,NONE
Q2_FIXED__STREAK_REDUCE_3,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.4804,0.5196,13.0,0.3430474604496253,0.5895087427144047,0.8076602830974188,2.0815986677768525,145.6910907577019,25.0,none,none,reduce_3,NONE
Q2_FIXED__DAYSHAPE70,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.492,0.508,12.0,0.4097560975609756,0.6154471544715447,0.8154471544715447,2.032520325203252,142.2560975609756,25.0,none,none,none,NONE
Q2_DEF50__GOV_SOFT,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.4068,0.5932,17.0,0.2232055063913471,0.408062930186824,0.5870206489675516,2.4582104228121926,172.05014749262534,41.39999999999998,soft,none,none,NONE
Q2_DEF50__GOV_REDUCED,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.4612,0.5388,15.0,0.29141370338248046,0.4657415437987858,0.6539462272333044,2.168256721595837,151.7562879444926,35.0,reduced,none,none,NONE
Q2_DEF50__GOV_HARD,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.4768,0.5232,14.0,0.3313758389261745,0.5243288590604027,0.7332214765100671,2.097315436241611,146.79110738255034,31.0,hard,none,none,NONE
Q2_DEF50__DSTOP_USD400,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.478,0.522,13.0,0.3573221757322176,0.5414225941422595,0.7313807531380753,2.092050209205021,146.42259414225938,33.0,none,dollar,none,NONE
Q2_DEF50__DSTOP_USD600,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.49,0.51,13.0,0.3853061224489796,0.5608163265306122,0.7420408163265306,2.0408163265306123,142.83673469387753,30.0,none,dollar,none,NONE
Q2_DEF50__DSTOP_R15,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.4956,0.5044,14.0,0.354317998385795,0.5375302663438256,0.7280064568200162,2.017756255044391,141.2227602905569,29.0,none,R,none,NONE
Q2_DEF50__DSTOP_FRAC35,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.59,0.41,16.0,0.2894915254237288,0.4427118644067797,0.607457627118644,1.6949152542372883,118.62711864406779,41.600000000000136,none,frac_dd,none,NONE
Q2_DEF50__STREAK_PAUSE_2,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.4952,0.5048,13.0,0.3852988691437803,0.567043618739903,0.7504038772213247,2.0193861066235868,141.33683360258482,30.0,none,none,pause_2,NONE
Q2_DEF50__STREAK_PAUSE_3,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.4836,0.5164,14.0,0.348221670802316,0.5310173697270472,0.7253928866832092,2.0678246484698097,144.727047146402,31.0,none,none,pause_3,NONE
Q2_DEF50__STREAK_REDUCE_2,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.5152,0.4848,18.0,0.2375776397515528,0.3781055900621118,0.5869565217391305,1.9409937888198758,135.8501552795031,38.299999999999955,none,none,reduce_2,NONE
Q2_DEF50__STREAK_REDUCE_3,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.492,0.508,14.0,0.3300813008130081,0.5065040650406504,0.6967479674796748,2.032520325203252,142.2560975609756,32.100000000000136,none,none,reduce_3,NONE
