event_id,first_z,max_abs_z,reclaim,side,trading_date
2026-01-08|above|1767884700,2.812331763468186,2.812331763468186,True,above,2026-01-08
2026-01-08|above|1767890100,2.0061685845782846,2.0061685845782846,True,above,2026-01-08
2026-01-09|above|1767972000,2.464263919074918,2.464263919074918,True,above,2026-01-09
2026-01-09|above|1767972900,2.404286384470048,2.404286384470048,True,above,2026-01-09
2026-01-12|above|1768225500,2.7930885211339627,2.7930885211339627,True,above,2026-01-12
2026-01-12|below|1768226400,-2.249163095006903,2.249163095006903,True,below,2026-01-12
2026-01-12|below|1768227900,-2.080931256171176,2.080931256171176,True,below,2026-01-12
2026-01-12|above|1768232100,2.103419010325806,2.103419010325806,True,above,2026-01-12
2026-01-13|above|1768315200,2.409037707412618,2.5200535582037062,True,above,2026-01-13
2026-01-13|below|1768321500,-2.097552774157937,2.097552774157937,True,below,2026-01-13
2026-01-14|below|1768401300,-2.791292985709024,2.791292985709024,True,below,2026-01-14
2026-01-14|below|1768401900,-2.419323247275715,2.419323247275715,True,below,2026-01-14
2026-01-16|above|1768571100,2.229733753497509,2.229733753497509,True,above,2026-01-16
2026-01-16|above|1768574700,2.017329648784035,2.017329648784035,True,above,2026-01-16
2026-01-16|below|1768577100,-2.1443653957099547,2.1443653957099547,True,below,2026-01-16
2026-01-19|below|1768830600,-2.26486374539662,2.26486374539662,True,below,2026-01-19
2026-01-19|below|1768831500,-2.1095477128588747,2.1095477128588747,True,below,2026-01-19
2026-01-19|above|1768837500,2.618199202859962,3.2118421615476387,True,above,2026-01-19
2026-01-20|above|1768916700,2.4091515174187634,2.4091515174187634,True,above,2026-01-20
2026-01-20|above|1768917300,2.165114142132695,2.165114142132695,True,above,2026-01-20
2026-01-20|above|1768928100,2.089186800037676,2.089186800037676,True,above,2026-01-20
2026-01-20|above|1768929300,2.0138757211600495,2.0138757211600495,True,above,2026-01-20
2026-01-21|below|1769004000,-2.637387536777435,2.637387536777435,True,below,2026-01-21
2026-01-21|below|1769008500,-2.8742078383513237,2.8742078383513237,True,below,2026-01-21
2026-01-21|below|1769016600,-2.355614231655555,2.355614231655555,True,below,2026-01-21
2026-01-22|above|1769095800,2.273208366343468,2.273208366343468,True,above,2026-01-22
2026-01-23|above|1769175900,2.2641373767325477,2.734363004078813,True,above,2026-01-23
2026-01-23|above|1769176800,2.1164276383441165,2.1164276383441165,True,above,2026-01-23
2026-01-23|above|1769179500,2.2881567234435347,2.2881567234435347,True,above,2026-01-23
2026-01-23|above|1769184300,2.518323038369972,2.518323038369972,True,above,2026-01-23
2026-01-23|above|1769184900,2.327428834765697,2.327428834765697,True,above,2026-01-23
2026-01-26|above|1769437200,2.231448502379718,2.231448502379718,True,above,2026-01-26
2026-01-26|above|1769437800,2.369489549874569,2.369489549874569,True,above,2026-01-26
2026-01-26|above|1769439000,2.001655788449096,2.174725954069342,True,above,2026-01-26
2026-01-27|below|1769522400,-2.0860001251273057,2.0860001251273057,True,below,2026-01-27
2026-01-27|above|1769528700,2.0762005114948776,2.0762005114948776,True,above,2026-01-27
2026-01-27|above|1769529300,2.349357476152947,2.349357476152947,True,above,2026-01-27
2026-01-27|above|1769529900,2.056648201360085,2.446739954595681,True,above,2026-01-27
2026-01-27|above|1769531100,2.0765723268152847,2.0765723268152847,True,above,2026-01-27
2026-01-28|above|1769612100,2.1464570723430327,2.3741849666474795,True,above,2026-01-28
2026-01-28|above|1769618700,2.0933278932544654,2.5423869663702683,True,above,2026-01-28
2026-01-28|above|1769621100,2.1365003374640263,2.1365003374640263,True,above,2026-01-28
2026-01-29|above|1769695500,2.681686929473922,2.681686929473922,True,above,2026-01-29
2026-01-29|above|1769696700,2.4956114142031622,2.4956114142031622,True,above,2026-01-29
2026-01-29|below|1769698200,-3.3976858796061333,3.522472587600387,True,below,2026-01-29
2026-01-29|below|1769700300,-2.2497340800943113,2.296768670455013,True,below,2026-01-29
2026-01-29|below|1769701200,-2.222739540788332,2.222739540788332,True,below,2026-01-29
2026-01-30|below|1769780700,-2.6059015725011623,2.6059015725011623,True,below,2026-01-30
