age_1h,aligned_1h_4h,close_with_1h,close_with_4h,ema20_rising,gap,gap_over_atr,prior_ret,ret_1h,ret_4h,rth_close,rth_high,rth_low,rth_open,rth_return,strength_1h,structure_1h,trading_date,trend_1h,trend_4h,year
0,False,,True,False,-1.0,-0.011981172443303382,-87.0,-0.001967844582147049,0.0033166799613753017,5959.0,5971.75,5917.0,5954.0,0.0008397715821295559,weak,MIXED,2025-01-08,NEUTRAL,BULLISH,2025
1,False,True,,False,-38.25,-0.4471816283924843,5.0,-0.006145039774401284,0.0004205391311662421,5866.5,5921.75,5845.25,5920.75,-0.009162690537516394,medium,MIXED,2025-01-10,BEARISH,NEUTRAL,2025
1,False,True,False,True,-49.0,-0.5482517482517483,-54.25,0.002537525267730434,-0.007506610935767322,5875.25,5878.25,5813.0,5817.5,0.009926944563816154,weak,MIXED,2025-01-13,BULLISH,BEARISH,2025
0,False,,False,True,27.5,0.3489689553591661,57.75,-0.001397002794005564,0.00403791388617325,5882.0,5909.75,5842.5,5902.75,-0.003515310660285431,weak,MIXED,2025-01-14,NEUTRAL,BULLISH,2025
3,False,True,,True,82.75,1.0560619872379216,-20.75,0.01388240288686049,0.00012730204531963274,5988.5,6001.25,5952.5,5964.75,0.003981725973427164,strong,MIXED,2025-01-15,BULLISH,NEUTRAL,2025
0,False,,False,True,13.25,0.18676063428139944,23.75,-0.0009163993835131778,0.0032566489916914243,5976.25,6004.25,5969.0,6001.75,-0.004248760778106431,weak,LH_LL,2025-01-16,NEUTRAL,BULLISH,2025
1,True,True,True,True,50.5,0.7438190426091531,-25.5,0.003961469496684966,0.004229834994555759,6033.0,6051.5,6012.75,6026.75,0.0010370431824782145,weak,MIXED,2025-01-17,BULLISH,BULLISH,2025
0,False,,,True,30.75,0.45555555555555555,6.25,0.0003299921626860325,0.0001651459477312045,6086.5,6087.25,6043.5,6063.75,0.0037518037518038394,weak,MIXED,2025-01-21,NEUTRAL,NEUTRAL,2025
0,False,,True,True,29.75,0.4546943231441048,22.75,0.0013091682690340445,0.0032831288217671784,6120.25,6135.75,6111.25,6116.25,0.0006539955037809797,weak,HH_HL,2025-01-22,NEUTRAL,BULLISH,2025
0,False,,False,False,-6.75,-0.10918544194107453,4.0,0.0009821976672805821,-0.0022057922470487545,6153.5,6154.0,6111.25,6113.5,0.006542896867588022,weak,HH_HL,2025-01-23,NEUTRAL,BEARISH,2025
0,False,,,True,-1.5,-0.024844720496894408,40.0,-0.0003661215523553807,-0.0008538667967796787,6132.75,6162.25,6122.0,6152.0,-0.003129063719115699,weak,MIXED,2025-01-24,NEUTRAL,NEUTRAL,2025
0,False,,False,False,-134.75,-2.433408577878104,-19.25,-0.000499126528574978,-0.02584801043705154,6046.75,6048.75,5996.75,5998.0,0.00812770923641204,weak,HH_HL,2025-01-27,NEUTRAL,BEARISH,2025
1,False,False,True,False,10.75,0.19686069326357097,48.75,-0.0021012731243047478,0.002975083674228385,6096.0,6105.5,6023.5,6057.5,0.00635575732562943,weak,MIXED,2025-01-28,BEARISH,BULLISH,2025
1,False,True,False,True,-8.75,-0.15659955257270694,38.5,-0.0025813324592313114,0.00201108146932083,6068.25,6091.25,6042.25,6087.25,-0.0031212780812354124,weak,LH_LL,2025-01-29,BEARISH,BULLISH,2025
0,False,,,True,21.25,0.4127644814429414,-19.0,0.0,0.001810252612523655,6099.25,6116.25,6056.5,6089.5,0.0016011166762459617,weak,MIXED,2025-01-30,NEUTRAL,NEUTRAL,2025
0,False,,False,True,23.25,0.4485015501205649,9.75,0.0004490162462242875,0.005087596931030225,6064.75,6147.75,6057.75,6122.5,-0.009432421396488366,weak,MIXED,2025-01-31,NEUTRAL,BULLISH,2025
0,False,,False,False,-92.5,-1.7517754480892795,-57.75,0.00050278627393463,-0.014137334102712007,6023.0,6049.25,5950.25,5972.25,0.00849763489472144,weak,MIXED,2025-02-03,NEUTRAL,BEARISH,2025
2,False,True,False,True,0.5,0.009055627425614488,50.75,0.002455366432227768,-0.007307406489967749,6062.5,6068.75,6018.0,6023.5,0.006474640989458047,weak,MIXED,2025-02-04,BULLISH,BEARISH,2025
1,False,True,False,False,-11.5,-0.21282220753469927,39.0,0.003694785785453236,-0.002398379026588904,6086.0,6088.5,6029.5,6051.0,0.005784167906131232,weak,HH_HL,2025-02-05,BULLISH,BEARISH,2025
0,False,,,True,17.75,0.3240952070427127,35.0,0.0004099368697221273,0.0008210180623973162,6107.0,6108.5,6070.0,6103.75,0.0005324595535531884,weak,MIXED,2025-02-06,NEUTRAL,NEUTRAL,2025
0,False,,,True,3.5,0.06363636363636363,3.25,0.0007781145056924288,0.001558846453624252,6049.25,6123.25,6041.25,6110.5,-0.01002372964569187,weak,MIXED,2025-02-07,NEUTRAL,NEUTRAL,2025
1,True,True,True,True,31.5,0.5422686750691669,-61.25,0.0023472245099653843,0.004090909090909145,6088.25,6096.0,6067.75,6080.75,0.0012334004851375369,weak,HH_HL,2025-02-10,BULLISH,BULLISH,2025
0,False,,False,False,-23.25,-0.40802256345973054,7.5,-0.0015653964984552182,-0.0035727485524208458,6092.5,6098.75,6064.0,6065.0,0.004534212695795459,weak,MIXED,2025-02-11,NEUTRAL,BEARISH,2025
1,False,False,,False,-61.75,-1.0699257425742574,27.5,-0.008466913275791188,-0.0006567605286922351,6072.75,6084.75,6023.75,6030.75,0.00696430792190017,strong,MIXED,2025-02-12,BEARISH,NEUTRAL,2025
1,False,True,,True,10.75,0.1821482602118003,42.0,0.002264959024832258,-0.0011513631317077166,6135.25,6138.0,6070.25,6083.5,0.008506616257088817,weak,MIXED,2025-02-13,BULLISH,NEUTRAL,2025
0,False,,,True,-0.75,-0.012298682284040996,51.75,-0.00028526019805208414,-0.000529984915813908,6131.75,6145.25,6125.75,6134.5,-0.0004482842937484355,weak,MIXED,2025-02-14,NEUTRAL,NEUTRAL,2025
0,False,,,True,11.5,0.19604261796042619,-2.75,0.0014640097600651103,0.0009762447120078566,6148.0,6148.5,6118.25,6143.25,0.0007732063647092335,weak,MIXED,2025-02-18,NEUTRAL,NEUTRAL,2025
1,False,False,,False,-13.75,-0.25016244314489927,4.75,-0.0023173557750945095,-0.0005695919280687134,6163.0,6166.5,6129.25,6134.25,0.004686799527244601,weak,MIXED,2025-02-19,BEARISH,NEUTRAL,2025
0,False,,,False,-14.5,-0.2678983833718245,28.75,-0.000934617416392336,-0.0005280259951259136,6137.25,6150.0,6102.75,6148.5,-0.0018297145645279622,weak,MIXED,2025-02-20,NEUTRAL,NEUTRAL,2025
0,False,,,True,-4.75,-0.08923180140892319,-11.25,0.00032585230744164306,0.0008152616990053652,6030.25,6133.0,6024.5,6132.5,-0.016673461068079876,weak,MIXED,2025-02-21,NEUTRAL,NEUTRAL,2025
0,False,,False,False,19.75,0.3620294599018003,-102.25,0.0,0.004850947385878435,6002.25,6060.0,5994.5,6050.0,-0.007892561983471102,weak,MIXED,2025-02-24,NEUTRAL,BULLISH,2025
3,False,False,True,True,-1.75,-0.03355015405682985,-47.75,0.0038043478260869623,-0.004162850720173195,5970.5,6007.75,5924.0,6000.5,-0.004999583368052618,weak,HH_HL,2025-02-25,BULLISH,BEARISH,2025
0,False,,False,True,16.75,0.30723878152636747,-30.0,-0.0007919636530365759,0.003428236966428466,5972.0,6023.75,5945.5,5987.25,-0.002547079209987868,weak,MIXED,2025-02-26,NEUTRAL,BULLISH,2025
1,False,True,False,False,23.5,0.4204472843450479,-15.25,-0.00320552849589939,0.0024206001418971557,5877.5,6007.25,5873.0,5995.5,-0.019681427737469726,weak,MIXED,2025-02-27,BEARISH,BULLISH,2025
0,False,,True,True,2.25,0.035866780529462,-118.0,-0.0010182003309151533,0.002380547525930865,5964.0,5971.0,5848.0,5879.75,0.014328840511926622,weak,MIXED,2025-02-28,NEUTRAL,BULLISH,2025
0,False,,False,False,20.75,0.31601849333695947,84.25,0.0005432965563356706,0.004028197381671594,5862.75,5997.0,5821.75,5984.75,-0.02038514557834492,weak,MIXED,2025-03-03,NEUTRAL,BULLISH,2025
2,True,True,True,False,-43.75,-0.574443141852286,-122.0,-0.007248539632456419,-0.003276595744680866,5790.75,5875.75,5744.0,5819.0,-0.004854786045712323,medium,LH_LL,2025-03-04,BEARISH,BEARISH,2025
3,False,False,,False,-2.75,-0.03309692671394799,-28.25,-0.008733624454148492,-0.0003004291845493112,5850.75,5869.5,5750.75,5788.0,0.010841395991707081,strong,MIXED,2025-03-05,BEARISH,NEUTRAL,2025
7,True,True,True,True,-77.0,-0.882882882882883,62.75,-0.0022442813983599708,-0.010948592934736157,5747.75,5821.25,5720.0,5773.75,-0.004503139207620688,weak,MIXED,2025-03-06,BEARISH,BEARISH,2025
1,False,False,,False,-21.5,-0.23993622957353528,-26.0,-0.0057648129686619365,0.00039054024734208603,5775.0,5791.0,5673.0,5726.25,0.008513425016371867,medium,MIXED,2025-03-07,BEARISH,NEUTRAL,2025
0,False,,True,True,-83.75,-0.8665927568366593,48.75,-0.0008324935372212572,-0.009225971325854343,5623.5,5711.25,5571.5,5691.25,-0.011904238963320934,weak,LH_LL,2025-03-10,NEUTRAL,BEARISH,2025
1,False,True,False,False,-14.5,-0.13880341880341882,-67.75,-0.004385187810063806,0.0021319120586276163,5575.75,5643.75,5534.0,5609.0,-0.005927972900695355,medium,MIXED,2025-03-11,BEARISH,BULLISH,2025
5,True,False,False,True,59.75,0.5449511400651466,-33.25,0.005791935843172169,0.006948491504908727,5602.75,5645.0,5550.25,5635.5,-0.005811374323484997,medium,HH_HL,2025-03-12,BULLISH,BULLISH,2025
