accept_1m,accept_5m,accept_two_1m,close_vs_value,continue_away,enter_value,first_exit_side,gap,gap_over_atr,inside_closes,instrument,mae_into,mfe_away,open,open_above_poc,open_below_poc,open_class,overnight_inside_value,poc,poc_in_range,prior_date,reject_1m,return_vah,return_val,tod_first_value_int,touch_poc,trading_date,traverse_full_value,ts_accept_1m,ts_poc,ts_vah,ts_val,vah,val,vol_above_poc,width,width_over_atr,width_over_range,year
False,False,False,CLOSE_INSIDE_VALUE,True,False,,15.25,0.4190382728164867,0,ES,-1.75,20.25,4782.0,True,False,OPEN_ABOVE_VAH,True,4767.0,0.43820224719101125,2023-12-15,False,False,False,0930_1000,False,2023-12-18,False,,,,,4774.0,4763.0,0.5706095740532732,11.0,0.3022571148184494,0.4943820224719101,2023
True,False,False,CLOSE_INSIDE_VALUE,False,True,VAH,4.75,0.1320754716981132,2,ES,0.0,0.0,4797.5,True,False,OPEN_INSIDE_VALUE,True,4796.75,0.75,2023-12-18,False,True,False,0930_1000,True,2023-12-19,False,1702996200,1702996200,1702996200,,4800.0,4787.75,0.20595693422384728,12.25,0.34061569016881826,0.5568181818181818,2023
True,True,True,CLOSE_ABOVE_VAH,False,True,VAH,-9.75,-0.2802874743326489,22,ES,0.0,0.0,4810.5,False,True,OPEN_INSIDE_VALUE,True,4814.0,0.7,2023-12-19,False,True,True,0930_1000,True,2023-12-20,True,1703082600,1703082960,1703083380,1703101020,4816.25,4808.25,0.2599956762190059,8.0,0.2299794661190965,0.32,2023
True,True,True,CLOSE_BELOW_VAL,False,True,VAL,31.5,0.8242990654205608,258,ES,0.0,0.0,4781.25,False,True,OPEN_INSIDE_VALUE,True,4822.75,0.9033232628398792,2023-12-20,False,False,True,1130_1330,False,2023-12-21,False,1703169000,,,1703178000,4830.25,4771.5,0.22217141854048097,58.75,1.5373831775700935,0.7099697885196374,2023
True,True,True,CLOSE_ABOVE_VAH,False,True,,11.0,0.2892018779342723,6,ES,-21.5,15.5,4806.25,True,False,OPEN_ABOVE_VAH,True,4781.75,0.6140350877192983,2023-12-21,True,True,False,1330_1530,False,2023-12-22,False,1703273160,,1703273040,,4789.5,4767.0,0.39915743138299203,22.5,0.5915492957746479,0.5263157894736842,2023
True,True,True,CLOSE_INSIDE_VALUE,False,True,VAH,3.5,0.09019788311090658,80,ES,0.0,0.0,4808.75,True,False,OPEN_INSIDE_VALUE,True,4804.25,0.527027027027027,2023-12-22,False,True,False,1000_1130,False,2023-12-26,False,1703601000,,1703603400,,4817.0,4802.75,0.7157920282355545,14.25,0.36723423838011965,0.38513513513513514,2023
True,True,True,CLOSE_INSIDE_VALUE,False,True,VAH,-2.75,-0.07096774193548387,291,ES,0.0,0.0,4822.25,False,True,OPEN_INSIDE_VALUE,True,4824.75,0.6320754716981132,2023-12-26,False,True,False,0930_1000,True,2023-12-27,False,1703687400,1703687520,1703687580,,4826.5,4814.75,0.2726937292713882,11.75,0.3032258064516129,0.44339622641509435,2023
False,False,False,CLOSE_ABOVE_VAH,True,False,,-2.75,-0.0746124031007752,0,ES,-3.5,7.75,4832.0,True,False,OPEN_ABOVE_VAH,False,4822.0,0.2894736842105263,2023-12-27,False,False,False,0930_1000,False,2023-12-28,False,,,,,4827.25,4819.75,0.7100903486984014,7.5,0.20348837209302328,0.39473684210526316,2023
True,True,True,CLOSE_INSIDE_VALUE,False,True,,-4.5,-0.12562313060817548,23,ES,-6.5,31.75,4828.5,False,True,OPEN_BELOW_VAL,True,4834.75,0.574468085106383,2023-12-28,True,False,True,0930_1000,True,2023-12-29,False,1703860620,1703862360,,1703860440,4837.25,4832.25,0.4367609246892632,5.0,0.1395812562313061,0.425531914893617,2023
False,False,False,CLOSE_INSIDE_VALUE,True,False,,-35.25,-0.978681209717402,0,ES,-14.0,18.0,4783.5,False,True,OPEN_BELOW_VAL,True,4816.75,0.5228758169934641,2023-12-29,False,False,False,0930_1000,False,2024-01-02,False,,,,,4822.75,4805.5,0.4581320298274553,17.25,0.4789291026276648,0.45098039215686275,2024
